Model,Train Accuracy,Test Accuracy,F1 Score,Cohen Kappa Score,Time Taken (sec)
Random Forest,0.9349051008303677,0.6473029045643154,0.7277102263665142,0.46462326041828916,11.560114
Random Forest with b-weights,0.8908659549228944,0.5874333135743924,0.6490033660352121,0.37271570390457964,13.923029
Random Forest with vectorized i/p,0.9313463819691578,0.6544161232957914,0.728319832902393,0.4846620141399227,44.757401
Random Forest with vectorized i/p & word count features,0.9356465005931198,0.6366330764671013,0.7145701278259018,0.44845964265352245,40.549523
